;IE_2_1.1;IE_2_1.2;IE_2_1.3;IE_2_1.4;IE_2_1.5;IE_2_1.6;IE_2_1.7;IE_2_1.8;IE_2_1.9;IE_2_1.10;IE_2_1.11;IE_2_1.12;
N�MERO SECUENCIAL;1961502;3814717;586291;3779313;400130;304740;2662554;304741;1491933;304739;304742;304743;
DESCRIPCI�N DE LA SERIE;OCDE TOTAL. PIB precios constantes. Tasa de variaci�n interanual;UE27 (no incluye Reino Unido). PIB precios constantes. Tasa de variaci�n interanual;UEM. PIB precios constantes. Tasa de variaci�n interanual;Descripci�n Familia:Contabilidad nacional de Espa�a. Metodolog�a:METODOLOG�A DEL A�O SEC2010. A�o Base:A�o base 2016. Valoraci�n:�ndices de volumen encadenados. Operaciones y otros Flujos:Producto interior bruto. Sector de Sa;ALEMANIA. PIB precios constantes. Tasa de variaci�n interanual;FRANCIA. PIB precios constantes. Tasa de variaci�n interanual;HOLANDA. PIB precios constantes. Tasa de variaci�n interanual;ITALIA.PIB precios constantes. Tasa de variaci�n interanual;CHINA. ACTIVIDAD: PIB (CNTR). Tasa de variaci�n interanual;ESTADOS UNIDOS. PIB precios constantes. Tasa de variaci�n interanual;JAP�N. PIB precios constantes. Tasa de variaci�n interanual;REINO UNIDO. PIB precios constantes. Tasa de variaci�n interanual;
DESCRIPCI�N DE LAS UNIDADES;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;
;;;;;;;;;;;;;
MAR 2005;2,73000;-;1,44000;3,63000;,2000;2,01000;1,17000;,37000;11,1000;3,87000;,92000;1,7000;
JUN 2005;2,72000;-;1,46000;3,53000;,26000;1,52000;1,4000;,79000;10,1000;3,56000;1,58000;2,6000;
SEP 2005;3,06000;-;1,94000;3,56000;1,29000;1,67000;2,61000;1,45000;9,8000;3,51000;1,92000;3,6000;
DIC 2005;3,22000;-;2,2000;3,89000;1,86000;1,65000;3,03000;1,39000;9,9000;3,13000;2,31000;4,81000;
MAR 2006;3,48000;-;2,89000;4,07000;2,85000;2,24000;3,34000;1,78000;12,4000;3,35000;2,000;4,35000;
JUN 2006;3,47000;-;3,37000;4,16000;4,06000;3,08000;4,15000;1,72000;13,6000;3,12000;1,58000;3,33000;
SEP 2006;2,85000;-;3,22000;4,12000;3,99000;2,56000;3,39000;1,48000;12,2000;2,37000;,43000;2,27000;
DIC 2006;3,04000;-;3,81000;4,07000;5,08000;2,58000;3,59000;2,54000;12,5000;2,59000;1,56000;1,28000;
MAR 2007;2,7000;-;3,52000;3,83000;4,13000;2,55000;4,13000;2,24000;14,1000;1,48000;2,12000;1,82000;
JUN 2007;2,63000;-;3,12000;3,75000;3,21000;2,3000;3,11000;1,71000;14,8000;1,83000;1,98000;2,19000;
SEP 2007;2,75000;-;2,97000;3,59000;2,96000;2,67000;3,65000;1,47000;14,4000;2,22000;1,66000;2,88000;
DIC 2007;2,51000;-;2,34000;3,26000;2,06000;2,14000;4,19000;-,03000;13,6000;1,97000;,82000;2,83000;
MAR 2008;1,95000;-;2,17000;2,54000;2,68000;1,79000;3,35000;1,02000;11,3000;1,15000;,34000;2,43000;
JUN 2008;1,31000;-;1,11000;1,74000;1,56000;,58000;3,33000;-,01000;10,8000;1,09000;-,15000;1,24000;
SEP 2008;,29000;-;,12000;,78000;,41000;-,11000;2,06000;-1,37000;9,7000;,000;-,9000;-1,12000;
DIC 2008;-2,36000;-;-2,15000;-1,48000;-1,83000;-1,75000;,03000;-3,5000;7,6000;-2,75000;-3,76000;-3,61000;
MAR 2009;-4,74000;-;-5,66000;-4,25000;-7,03000;-3,79000;-3,88000;-7,17000;6,4000;-3,29000;-8,6000;-5,81000;
JUN 2009;-4,57000;-;-5,35000;-4,36000;-6,66000;-3,45000;-4,34000;-6,62000;8,2000;-3,92000;-6,33000;-5,51000;
SEP 2009;-3,49000;-;-4,48000;-3,99000;-5,54000;-2,97000;-3,84000;-5,04000;10,6000;-3,05000;-5,1000;-3,94000;
DIC 2009;-,67000;-;-2,32000;-2,43000;-3,28000;-,88000;-2,62000;-2,33000;11,9000;,18000;-1,4000;-1,62000;
MAR 2010;2,27000;-;1,23000;,15000;2,28000;1,16000;,82000;,8000;12,2000;1,71000;4,44000;,76000;
JUN 2010;3,22000;-;2,25000;,31000;4,42000;1,78000;1,26000;1,86000;10,8000;2,8000;3,68000;2,02000;
SEP 2010;3,49000;-;2,34000;,05000;4,69000;2,21000;1,29000;1,87000;9,9000;3,18000;5,5000;2,63000;
DIC 2010;3,1000;-;2,44000;,14000;4,77000;2,22000;1,82000;2,15000;9,9000;2,57000;3,22000;2,38000;
MAR 2011;2,73000;-;2,93000;,01000;5,93000;2,88000;2,61000;2,18000;10,2000;1,93000;,91000;2,38000;
JUN 2011;2,02000;-;1,92000;-,46000;3,72000;2,42000;2,07000;1,55000;10,000;1,72000;-1,09000;1,46000;
SEP 2011;1,78000;-;1,56000;-1,05000;3,75000;2,05000;1,63000;,58000;9,4000;,95000;-,43000;1,11000;
DIC 2011;1,67000;-;,58000;-1,76000;2,62000;1,62000;-,11000;-,89000;8,8000;1,61000;,24000;1,23000;
MAR 2012;1,85000;-;-,48000;-2,53000;,89000;,65000;-,91000;-2,34000;8,1000;2,65000;2,89000;1,24000;
JUN 2012;1,6000;-;-,81000;-3,16000;,96000;,41000;-,76000;-3,22000;7,6000;2,36000;2,81000;1,06000;
SEP 2012;1,19000;-;-,99000;-3,02000;,39000;,37000;-1,17000;-3,29000;7,5000;2,53000;-,07000;1,98000;
DIC 2012;,8000;-;-1,06000;-3,13000;,24000;,03000;-1,28000;-3,21000;8,1000;1,47000;,35000;1,63000;
MAR 2013;,95000;-;-1,21000;-2,53000;-,43000;-,08000;-,74000;-2,94000;7,9000;1,57000;,36000;1,63000;
JUN 2013;1,3000;-;-,37000;-1,67000;,45000;,78000;-,99000;-2,17000;7,6000;1,26000;1,88000;2,26000;
SEP 2013;1,84000;-;,04000;-1,22000;,7000;,58000;,04000;-1,45000;7,9000;1,92000;3,13000;1,98000;
DIC 2013;2,31000;-;,69000;-,3000;1,46000;1,11000;1,39000;-,86000;7,7000;2,61000;2,82000;2,68000;
MAR 2014;2,09000;-;1,55000;,39000;2,93000;1,23000;,96000;,1000;7,4000;1,43000;2,59000;2,7000;
JUN 2014;2,1000;-;1,21000;,95000;1,83000;,71000;1,73000;,09000;7,5000;2,67000;-,15000;2,82000;
SEP 2014;2,19000;-;1,37000;1,75000;1,78000;1,19000;1,38000;,05000;7,1000;3,12000;-,89000;2,44000;
DIC 2014;2,27000;-;1,57000;2,45000;2,31000;,82000;1,65000;,04000;7,2000;2,88000;-,36000;2,47000;
MAR 2015;2,7000;-;1,84000;3,25000;1,12000;1,2000;2,35000;,13000;7,1000;3,98000;,01000;2,34000;
JUN 2015;2,8000;-;2,06000;3,87000;1,79000;,98000;2,07000;,54000;7,1000;3,35000;2,08000;2,4000;
SEP 2015;2,49000;-;2,04000;4,05000;1,75000;,93000;2,16000;,63000;7,000;2,44000;1,93000;2,25000;
DIC 2015;2,16000;-;2,05000;4,16000;1,32000;1,05000;1,27000;1,33000;6,9000;1,9000;1,04000;2,44000;
MAR 2016;1,86000;-;1,92000;3,68000;2,33000;1,24000;1,59000;1,47000;6,9000;1,62000;,17000;2,07000;
JUN 2016;1,71000;-;1,79000;3,01000;2,28000;,98000;1,49000;1,24000;6,8000;1,34000;,2000;1,89000;
SEP 2016;1,58000;-;1,77000;2,99000;2,03000;,77000;2,3000;1,55000;6,8000;1,56000;,48000;1,91000;
